"","Geneid","DZ_curves_0_1","DZ_curves_0_2","DZ_curves_0_3","ensgene","symbol"
"9235","ENSG00000188026.13",667.50267104039,768.928740192566,648.644956838339,"ENSG00000188026","RILPL1"
"9236","ENSG00000188033.10",1288.25645003636,1156.01987650623,1274.04078808362,"ENSG00000188033","ZNF490"
"9237","ENSG00000188042.8",8212.91220334782,8160.74899243671,7396.78689166769,"ENSG00000188042","ARL4C"
"9238","ENSG00000188070.9",4198.6120281681,3982.27959628028,3835.83456447007,"ENSG00000188070","C11orf95"
"9239","ENSG00000188092.15",562.134563400833,997.344853551598,874.783052140426,"ENSG00000188092","GPR89B"
"9240","ENSG00000188130.14",1292.7531456266,1217.74662332861,1370.53421219889,"ENSG00000188130","MAPK12"
"9241","ENSG00000188158.17",290.131166995534,310.755859282504,337.807514164331,"ENSG00000188158","NHS"
"9242","ENSG00000188171.17",967.350205333664,934.60919219219,958.117798068173,"ENSG00000188171","ZNF626"
"9243","ENSG00000188177.14",3733.13372459652,3285.58493121483,3297.96691891818,"ENSG00000188177","ZC3H6"
"9244","ENSG00000188185.13",818.93413501538,808.559540444191,929.990042676175,"ENSG00000188185","LINC00265"
"9245","ENSG00000188186.11",871.361286395524,886.143722921814,867.560130004375,"ENSG00000188186","LAMTOR4"
"9246","ENSG00000188191.15",1678.59290136584,1633.15729097754,1497.27112199702,"ENSG00000188191","PRKAR1B"
"9247","ENSG00000188211.9",4954.28045035068,4726.56750029731,4733.35314724058,"ENSG00000188211","NCR3LG1"
"9248","ENSG00000188215.10",802.693151473788,861.695938881698,880.423141843112,"ENSG00000188215","DCUN1D3"
"9249","ENSG00000188227.14",1558.64965247038,1582.75593215547,1878.07735700886,"ENSG00000188227","ZNF793"
"9250","ENSG00000188229.6",7060.98495793696,7231.52483904269,7468.88809025971,"ENSG00000188229","TUBB4B"
"9251","ENSG00000188234.15",486.207378282518,503.505862242901,653.692602449501,"ENSG00000188234","AGAP4"
"9252","ENSG00000188242.4",655.011332324851,635.724646046893,572.026227445312,"ENSG00000188242","PP7080"
"9253","ENSG00000188243.14",2507.98993669178,2382.09344898271,2112.19011167191,"ENSG00000188243","COMMD6"
"9254","ENSG00000188283.12",1130.3181593142,1190.61739387861,1064.2307228596,"ENSG00000188283","ZNF383"
"9255","ENSG00000188295.15",1538.61500456545,1482.05062639118,1683.37900601522,"ENSG00000188295","ZNF669"
"9256","ENSG00000188312.14",1816.93286731091,1600.45609717634,1603.11688181114,"ENSG00000188312","CENPP"
"9257","ENSG00000188321.14",1412.08887818071,1369.62355405797,1671.56849778919,"ENSG00000188321","ZNF559"
"9258","ENSG00000188322.8",3553.5631398577,3546.80068746335,3210.22728629269,"ENSG00000188322","SBK1"
"9259","ENSG00000188342.12",2956.3893321554,2921.61909756088,2649.03018972083,"ENSG00000188342","GTF2F2"
"9260","ENSG00000188343.14",2562.31874660045,2502.94935821508,2265.72440500571,"ENSG00000188343","FAM92A"
"9261","ENSG00000188352.13",2833.88415575853,2880.03518600839,2998.18209315817,"ENSG00000188352","FOCAD"
"9262","ENSG00000188372.15",579.041575379471,640.196078339207,470.671991901826,"ENSG00000188372","ZP3"
"9263","ENSG00000188419.14",2295.70197602069,2287.23998502126,2263.11307785248,"ENSG00000188419","CHM"
"9264","ENSG00000188428.20",1954.23713087542,2048.03904095883,1815.45037549248,"ENSG00000188428","BLOC1S5"
"9265","ENSG00000188483.8",289.546241606947,285.390999049103,267.876529695353,"ENSG00000188483","IER5L"
"9266","ENSG00000188486.4",1720.25746638111,1941.81383879519,1869.66832284133,"ENSG00000188486","H2AFX"
"9267","ENSG00000188493.15",803.283633597319,684.105763278844,674.25759920912,"ENSG00000188493","C19orf54"
"9268","ENSG00000188522.15",529.25363878607,453.585272190018,459.004482118927,"ENSG00000188522","FAM83G"
"9269","ENSG00000188529.15",7142.9457201584,7133.68900113798,7967.72470300458,"ENSG00000188529","SRSF10"
"9270","ENSG00000188542.10",308.841295060651,335.684655138599,342.622368637284,"ENSG00000188542","DUSP28"
"9271","ENSG00000188549.13",935.037154469044,1038.40069416533,1076.30881746638,"ENSG00000188549","C15orf52"
"9272","ENSG00000188554.15",8056.83783209395,7615.42298824503,6959.57440757191,"ENSG00000188554","NBR1"
"9273","ENSG00000188559.16",2100.89319743065,1960.71335904629,2066.59462923627,"ENSG00000188559","RALGAPA2"
"9274","ENSG00000188566.15",495.859212724343,518.398991517159,613.587340577361,"ENSG00000188566","NDOR1"
"9275","ENSG00000188573.8",771.327199041782,686.188653548585,699.880779569758,"ENSG00000188573","FBLL1"
"9276","ENSG00000188582.10",340.146279871519,343.204269856644,385.886867301059,"ENSG00000188582","PAQR9"
"9277","ENSG00000188599.17",485.32845027456,563.731459445848,621.211471117049,"ENSG00000188599","NPIPP1"
"9278","ENSG00000188603.22",1050.5246462214,1121.73837876096,1042.62666554285,"ENSG00000188603","CLN3"
"9279","ENSG00000188610.12",836.88501826586,987.492499064932,954.212904540527,"ENSG00000188610","FAM72B"
"9280","ENSG00000188611.17",435.282123253725,352.76310983535,180.983308155806,"ENSG00000188611","ASAH2"
"9281","ENSG00000188612.12",18804.6485824385,19326.6597658787,17684.9977677218,"ENSG00000188612","SUMO2"
"9282","ENSG00000188613.7",541.718276855028,470.51198648401,395.85221075638,"ENSG00000188613","NANOS1"
"9283","ENSG00000188636.4",3185.67707435886,3137.91405242621,3170.70357380846,"ENSG00000188636","RTL6"
"9284","ENSG00000188641.14",2417.07496216632,2532.15208464642,2413.34757714965,"ENSG00000188641","DPYD"
"9285","ENSG00000188647.13",6703.95159441211,6268.68910159805,7291.14961802366,"ENSG00000188647","PTAR1"
"9286","ENSG00000188677.15",2014.14087177179,1968.45463994035,1731.60515898185,"ENSG00000188677","PARVB"
"9287","ENSG00000188681.12",864.010565687351,749.520092173509,798.285863824443,"ENSG00000188681","TEKT4P2"
"9288","ENSG00000188681.12",864.010565687351,749.520092173509,798.285863824443,"ENSG00000188681","TEKT4P2"
"9289","ENSG00000188690.15",2775.09453729311,2868.51429686487,2956.50336042583,"ENSG00000188690","UROS"
"9290","ENSG00000188706.13",4059.44733367662,3852.74975993994,3712.76704918903,"ENSG00000188706","ZDHHC9"
"9291","ENSG00000188707.7",420.334464927273,383.757167399672,452.158602814902,"ENSG00000188707","ZBED6CL"
"9292","ENSG00000188725.8",5304.15899496594,5277.82792660615,5058.84975330963,"ENSG00000188725","SMIM15"
"9293","ENSG00000188735.13",2202.68950262868,2567.42612169749,2329.25638323236,"ENSG00000188735","TMEM120B"
"9294","ENSG00000188739.15",4887.1753687329,5574.61999265855,5135.66263969267,"ENSG00000188739","RBM34"
"9295","ENSG00000188760.11",696.945599782349,798.955156415099,713.435142895267,"ENSG00000188760","TMEM198"
"9296","ENSG00000188785.12",662.981229774962,593.774824657644,625.852109700438,"ENSG00000188785","ZNF548"
"9297","ENSG00000188786.10",1393.66109200756,1336.66072874743,1420.91528941557,"ENSG00000188786","MTF1"
"9298","ENSG00000188807.13",604.650558282823,638.910441255373,568.233366980327,"ENSG00000188807","TMEM201"
"9299","ENSG00000188811.14",1315.54934693859,1378.64918675218,1637.14880563449,"ENSG00000188811","NHLRC3"
"9300","ENSG00000188827.11",1054.8836001172,984.893921614489,1233.43394489117,"ENSG00000188827","SLX4"
"9301","ENSG00000188846.14",59479.8765810093,56013.0502779105,52315.0256403906,"ENSG00000188846","RPL14"
"9302","ENSG00000188848.17",6220.52264153446,5973.94397172599,6429.62770516168,"ENSG00000188848","BEND4"
"9303","ENSG00000188895.12",8824.17581028578,9009.2680167692,9657.99575835489,"ENSG00000188895","MSL1"
"9304","ENSG00000188917.15",980.199285249565,926.529182191474,967.052494740808,"ENSG00000188917","TRMT2B"
"9305","ENSG00000188933.16",313.218926437606,266.308016776052,427.939453379243,"ENSG00000188933","USP32P1"
"9306","ENSG00000188938.17",2920.56221984987,3071.69503097745,2820.31358749425,"ENSG00000188938","FAM120AOS"
"9307","ENSG00000188976.11",2457.5287529262,2508.67926535391,2278.71155275546,"ENSG00000188976","NOC2L"
"9308","ENSG00000188985.6",604.353413539899,649.77426437763,589.356533761757,"ENSG00000188985","DHFRP1"
"9309","ENSG00000188986.9",2511.90796005884,2654.87350537141,2453.47966263248,"ENSG00000188986","NELFB"
"9310","ENSG00000188994.13",11555.8185796425,10819.3085976614,12925.7744414846,"ENSG00000188994","ZNF292"
